ion_paramter	temperature
8.0   8.17875540512
7.99199199199   8.17875529059
7.98398398398   8.17875517592
7.97597597598   8.17875506109
7.96796796797   8.17875494626
7.95995995996   8.17875483143
7.95195195195   8.17875470569
7.94394394394   8.17875457973
7.93593593594   8.17875445377
7.92792792793   8.17875432796
7.91991991992   8.17875420232
7.91191191191   8.178754065
7.9039039039   8.17875392702
7.8958958959   8.17875378884
7.88788788789   8.17875365066
7.87987987988   8.17875351247
7.87187187187   8.1787533617
7.86386386386   8.17875321012
7.85585585586   8.17875305854
7.84784784785   8.17875290713
7.83983983984   8.17875275594
7.83183183183   8.17875259127
7.82382382382   8.17875242525
7.81581581582   8.17875225897
7.80780780781   8.17875209268
7.7997997998   8.1787519264
7.79179179179   8.17875174561
7.78378378378   8.1787515632
7.77577577578   8.17875138079
7.76776776777   8.17875119857
7.75975975976   8.17875101664
7.75175175175   8.17875081872
7.74374374374   8.17875061862
7.73573573574   8.17875041852
7.72772772773   8.17875021862
7.71971971972   8.17875001904
7.71171171171   8.17874980234
7.7037037037   8.17874958283
7.6956956957   8.17874936332
7.68768768769   8.17874914401
7.67967967968   8.17874892508
7.67167167167   8.17874868833
7.66366366366   8.17874844796
7.65565565566   8.17874820716
7.64764764765   8.17874796637
7.63963963964   8.17874772557
7.63163163163   8.17874746564
7.62362362362   8.17874720149
7.61561561562   8.17874693734
7.60760760761   8.1787466734
7.5995995996   8.17874640995
7.59159159159   8.17874612607
7.58358358358   8.17874583685
7.57557557558   8.17874554708
7.56756756757   8.17874525731
7.55955955956   8.17874496754
7.55155155155   8.17874465588
7.54354354354   8.178744338
7.53553553554   8.17874402013
7.52752752753   8.17874370248
7.51951951952   8.17874338545
7.51151151151   8.17874304438
7.5035035035   8.17874269568
7.4954954955   8.17874234698
7.48748748749   8.17874199851
7.47947947948   8.17874165072
7.47147147147   8.17874127802
7.46346346346   8.17874089627
7.45545545546   8.17874051376
7.44744744745   8.17874013123
7.43943943944   8.17873974871
7.43143143143   8.17873933953
7.42342342342   8.17873891991
7.41541541542   8.17873850029
7.40740740741   8.17873808091
7.3993993994   8.17873766239
7.39139139139   8.17873721468
7.38338338338   8.17873675436
7.37537537538   8.17873629404
7.36736736737   8.17873583396
7.35935935936   8.17873537485
7.35135135135   8.17873488464
7.34334334334   8.17873437968
7.33533533534   8.17873387472
7.32732732733   8.17873336998
7.31931931932   8.17873286635
7.31131131131   8.17873233057
7.3033033033   8.17873177787
7.2952952953   8.17873122395
7.28728728729   8.17873067001
7.27927927928   8.17873011608
7.27127127127   8.17872952786
7.26326326326   8.1787289202
7.25525525526   8.17872831255
7.24724724725   8.1787277051
7.23923923924   8.17872709904
7.23123123123   8.17872645666
7.22322322322   8.17872579162
7.21521521522   8.17872512505
7.20720720721   8.17872445846
7.1991991992   8.17872379187
7.19119119119   8.17872308777
7.18318318318   8.17872235827
7.17517517518   8.17872162705
7.16716716717   8.17872089581
7.15915915916   8.17872016458
7.15115115115   8.17871939358
7.14314314314   8.17871859337
7.13513513514   8.17871779124
7.12712712713   8.17871698908
7.11911911912   8.17871618692
7.11111111111   8.17871534137
7.1031031031   8.17871446142
7.0950950951   8.17871358147
7.08708708709   8.17871270163
7.07907907908   8.17871182399
7.07107107107   8.17871089923
7.06306306306   8.17870993393
7.05505505506   8.17870896864
7.04704704705   8.17870800342
7.03903903904   8.17870704067
7.03103103103   8.17870602815
7.02302302302   8.17870496924
7.01501501502   8.17870391033
7.00700700701   8.17870285146
6.998998999   8.17870179532
6.99099099099   8.17870068824
6.98298298298   8.17869952968
6.97497497497   8.17869836812
6.96696696697   8.17869720652
6.95895895896   8.17869604491
6.95095095095   8.17869482952
6.94294294294   8.17869355526
6.93493493493   8.178692281
6.92692692693   8.17869100678
6.91891891892   8.17868973572
